RAg Ram Ras  Decg Decm Decs   GIN  Name    m    Type    Dn     e      Re         <SBe>   BTot         SBe     B-R     AR      KR      KB     D/B    ReB         mueB    h          mu0 
16 05 06.4  +23 51 54  494  J18       2  E     11.44   0.28   3.73        19.80  15.09        21.20  99.999   0.089   0.032   0.160  99.99  99.99       99.99  99.99       99.99
16 04 35.8  +17 43 16  495  A2151     A  cD    27.74   1.50  21.69        21.10  12.58        22.17   1.585   0.025   0.035   0.176   2.45   5.31       20.78  17.28       20.98
16 04 39.7  +17 42 03  496  A2151     B  E/S0  22.66   0.06  12.41        20.64  13.33        21.93   1.577   0.025   0.036   0.179   0.71   6.64       21.25  12.70       21.65
16 04 56.0  +17 46 54  497  A2151     C  E/S0  22.85   0.04   5.61        19.30  13.71        20.78   1.493   0.037   0.033   0.166   0.20   4.14       20.23  11.77       22.83
16 05 09.0  +17 43 49  498  A2151     D  E/S0  26.31   0.97  13.56        20.55  13.05        21.89   1.517   0.037   0.031   0.156   0.18  11.56       21.78  13.87       22.63
16 04 59.8  +17 52 11  499  A2151     E  E/S0  23.76   0.57   5.15        19.19  13.80        20.40   1.436   0.037   0.033   0.166   0.96   2.57       19.81   4.66       19.75
16 05 44.6  +17 43 00  500  A2151     F  S     33.22  99.99   5.08        18.56  13.19        19.81   1.584   0.039   0.011   0.135   1.11   2.04       18.78   4.88       19.17
16 06 32.0  +17 42 47  501  A2151     G  E     21.66  99.99   7.61        19.93  13.68        21.32   1.751   0.039   0.040   0.201  99.99  99.99       99.99  99.99       99.99
16 06 39.3  +17 45 40  502  A2151     H  E/S0  25.95  99.99   3.92        18.49  13.68        19.84   1.563   0.039   0.039   0.195   0.43   2.53       19.32   4.47       20.07
16 05 46.3  +18 01 01  503  A2151     I  S     13.43   0.05   8.76        20.81  14.27        21.72  99.999   0.034   0.013   0.156   5.21   1.47       20.32   6.09       20.22
16 05 32.7  +18 09 33  504  A2151     J  S     28.67  99.99   7.20        19.36  13.23        20.80  99.999   0.032   0.012   0.147   0.33   4.77       20.16  10.62       21.72
16 05 39.6  +18 09 51  505  A2151     K  E/S0  19.77   0.04   5.74        19.64  14.01        20.97   1.526   0.032   0.035   0.177   0.59   3.23       20.29   6.30       20.92
16 05 36.5  +18 16 22  506  A2151     L  S     13.83  99.99   7.59        20.61  14.37        21.52  99.999   0.032   0.012   0.148   4.97   1.47       20.38   5.28       20.02
16 06 16.0  +18 15 00  507  A2151     M  E     31.86   0.08  11.10        19.92  12.85        21.31   1.538   0.049   0.037   0.184  99.99  99.99       99.99  99.99       99.99
16 06 06.1  +18 36 25  508  A2151     N  SB0   21.99   0.16   4.54        19.03  13.90        20.50   1.564   0.027   0.038   0.190   0.67   2.04       19.24   5.98       20.62
16 07 09.9  +18 38 28  509  A2151     O  E/S0  20.94   0.08   9.09        20.28  13.65        21.53   1.618   0.034   0.039   0.194   0.18   9.25       21.90   5.15       21.09
16 07 38.5  +18 28 48  510  A2151     1  E/S0  18.57  99.99   4.34        19.26  14.24        20.67  99.999   0.034   0.037   0.186   0.73   1.95       19.51   5.22       20.60
16 06 25.6  +15 41 07  511  J19       A  E/S0  29.39   0.69  10.15        19.92  13.07        21.27   1.536   0.037   0.040   0.201   0.70   4.99       20.35  11.46       21.15
16 06 25.8  +15 41 37  512  J19       B  E     24.69   0.40   7.18        19.61  13.51        21.00   1.559   0.037   0.044   0.221  99.99  99.99       99.99  99.99       99.99
16 05 47.1  +15 47 27  513  J19       C  E/S0  24.97   0.30   8.55        19.92  13.44        21.23   1.468   0.037   0.041   0.206   1.29   2.63       19.65   8.59       20.55
16 04 51.8  +15 43 20  514  J19       D  S     20.14   0.33  11.25        20.65  13.55        21.70  99.999   0.037   0.012   0.142   2.87   2.26       20.02   8.79       20.43
16 07 19.6  +15 50 58  515  J19       E  S     11.68  99.99   6.65        20.67  14.74        21.70   1.395   0.037   0.013   0.155   2.92   1.50       20.32   5.09       20.41
16 05 15.1  +15 55 32  516  J19       F  E     16.88   0.54   9.30        20.66  13.99        22.05   1.581   0.037   0.042   0.212  99.99  99.99       99.99  99.99       99.99
16 06 19.6  +16 25 52  517  J19       G  E     21.25   1.00   9.07        20.25  13.61        21.65   1.470   0.051   0.034   0.169  99.99  99.99       99.99  99.99       99.99
16 05 29.2  +16 26 09  518  J19       H  E/S0  26.19   0.06   8.63        19.81  13.32        21.28   1.556   0.017   0.044   0.221   0.07   9.76       21.54   1.13       18.38
16 05 26.4  +16 26 35  519  J19       I  E/S0  20.71   0.35  10.63        20.54  13.60        22.12   1.587   0.017   0.045   0.227   0.82   3.65       20.27  15.01       22.15
16 04 41.1  +16 25 47  520  J19       J  S     18.67  99.99   5.10        19.65  14.30        20.59  99.999   0.017   0.014   0.165   3.40   1.59       20.13   3.62       19.19
16 04 43.7  +16 31 21  521  J19       K  S     14.27   0.11   4.71        19.95  14.77        20.85  99.999   0.017   0.014   0.165   4.43   1.21       20.23   3.27       19.37
16 04 49.9  +16 35 02  522  J19       L  E/S0  21.83   0.08   7.02        19.81  13.77        21.15   1.517   0.020   0.042   0.212   0.86   3.07       20.08   7.49       20.78
16 06 03.6  +16 10 31  523  J19       M  S     12.48  99.99   5.35        20.31  14.85        21.20  99.999   0.041   0.014   0.165   4.81   1.26       20.47   3.69       19.70
16 06 16.5  +16 02 23  524  J19       N  E/S0  16.22   0.17   4.55        19.55  14.43        20.99   1.434   0.041   0.043   0.216   0.22   3.40       20.52   7.32       22.44
16 04 41.7  +16 38 57  525  J19       1  E     13.43   0.06   4.24        19.74  14.80        21.15  99.999   0.020   0.045   0.226  99.99  99.99       99.99  99.99       99.99
16 06 58.5  +16 09 43  526  J19       2  S     17.12  99.99   5.15        19.71  14.33        20.93  99.999   0.044   0.014   0.165   0.23   5.17       21.33   3.03       20.39
16 04 10.6  +16 05 14  527  J19       3  S     13.65  99.99   6.40        20.41  14.53        21.59  99.999   0.025   0.011   0.136   0.32   6.28       22.06   3.93       20.89
15 58 20.6  +18 04 51  528  P445-1    A  E/S0  22.74   0.12   9.08        20.15  13.56        21.50   1.540   0.037   0.045   0.227   0.37   6.22       21.06  10.36       21.85
15 58 32.4  +17 52 16  529  P445-1    B  E/S0  17.02   0.30   5.66        19.88  14.32        21.06   1.563   0.037   0.048   0.239   0.36   5.28       21.46   3.74       20.43
15 54 24.4  +18 39 06  530  P445-1    C  E/S0  29.20  99.99  10.72        20.01  13.06        21.38   1.525   0.034   0.046   0.231   0.34   7.50       20.95  12.76       21.88
15 54 06.1  +18 38 51  531  P445-1    D  S     14.88  99.99  11.12        20.93  13.89        21.74  99.999   0.032   0.015   0.186   9.62   1.68       20.78   7.21       20.09
16 00 14.9  +18 22 33  532  P445-1    E  E/S0  15.05  99.99  11.77        21.22  14.14        22.71  99.999   0.034   0.062   0.309   1.18   3.03       20.52  13.75       22.23
15 53 50.0  +18 20 29  533  P445-1    F  SB0   17.91  99.99  20.17        21.87  13.55        23.50   1.508   0.032   0.046   0.230   1.17   4.28       20.74  26.25       23.11
15 53 30.9  +18 21 29  534  P445-1    G  E/S0  15.79  99.99  14.89        21.55  13.84        23.18   1.468   0.032   0.033   0.164   0.72   5.51       21.37  23.75       23.51
15 57 04.5  +17 37 32  535  P445-1    1  S     14.17  99.99   4.16        19.67  14.73        21.00  99.999   0.053   0.012   0.145   1.16   1.38       19.50   4.33       20.43
15 57 49.7  +16 18 35  536  P445-2    A  E/S0  35.13   0.16  13.01        20.05  12.63        21.33   1.542   0.051   0.037   0.185   0.94   5.70       20.37  13.04       20.83
15 57 42.4  +16 13 06  537  P445-2    B  S     19.85   0.10   8.98        20.35  13.73        21.67  99.999   0.051   0.011   0.135   1.38   2.50       19.90   8.99       20.94
15 57 30.8  +15 57 22  538  P445-2    C  E/S0  39.88  99.99   8.70        19.12  12.50        20.53   1.518   0.032   0.016   0.079   0.30   6.05       20.01  11.91       21.39
15 56 23.6  +16 31 24  539  P445-2    D  SB0   30.64  99.99   7.63        19.41  13.07        20.73   1.470   0.032   0.016   0.079   1.34   2.17       18.99   7.70       20.03
16 13 14.8  +30 54 09  540  A2162-N   A  E/S0  19.41   0.62   9.69        20.50  13.78        21.77   1.464   0.032   0.049   0.247   1.55   2.57       20.03   9.20       20.93
16 13 05.1  +30 54 05  541  A2162-N   B  E/S0  13.87  99.99   5.37        20.07  14.64        21.68  99.999   0.032   0.048   0.240   0.71   2.02       19.92   8.46       22.01
16 13 04.3  +30 54 00  542  A2162-N   C  E/S0  22.88  99.99  12.84        20.68  13.35        22.09  99.999   0.032   0.051   0.253   0.13  15.63       22.64   3.19       19.99
16 13 09.0  +30 49 37  543  A2162-N   D  E/S0  23.89  99.99  10.94        20.36  13.38        21.72   1.469   0.032   0.051   0.256   0.36   7.60       21.30  12.62       22.13
16 13 24.8  +30 35 58  544  A2162-N   E  S      9.99   0.56   5.70        20.65  15.08        21.46  99.999   0.032   0.016   0.195   6.43   1.99       21.93   3.69       19.86
16 12 57.1  +30 46 14  545  A2162-N   1  E/S0  21.19  99.99   4.42        19.03  14.02        20.49  99.999   0.032   0.049   0.248   0.35   2.80       19.76   6.77       21.41
16 12 35.6  +29 29 05  546  A2162-S   A  cD    38.64   0.11  17.08        20.31  12.28        21.72   1.527   0.044   0.032   0.160   0.74   7.57       20.53  20.65       21.65
16 11 59.0  +29 50 26  547  A2162-S   B  E/S0  34.42  99.99  10.70        19.75  12.82        21.08   1.553   0.039   0.050   0.250   0.35   7.71       20.75  11.52       21.38
16 11 55.3  +29 49 46  548  A2162-S   C  E/S0  15.21  99.99   7.16        20.40  14.35        21.92   1.501   0.039   0.050   0.248   0.31   4.55       21.10  13.91       23.41
16 12 16.8  +29 34 23  549  A2162-S   D  S     12.59  99.99   2.88        19.19  15.11        20.58  99.999   0.044   0.017   0.211  99.99  99.99       99.99  99.99       99.99
16 12 11.2  +29 34 28  550  A2162-S   E  S     17.09   0.40   8.47        20.49  14.08        21.74  99.999   0.044   0.017   0.209   1.41   2.59       20.26   8.05       20.95
16 11 56.7  +29 27 17  551  A2162-S   F  S     15.13  99.99   5.55        20.08  14.51        21.05   1.468   0.049   0.010   0.127   2.82   1.84       20.54   4.06       19.73
16 12 38.8  +29 38 38  552  A2162-S   G  E/S0  25.11   0.45   4.38        18.69  13.63        20.21   1.572   0.044   0.032   0.161   0.40   2.51       19.24   7.49       21.21
16 11 29.6  +29 27 00  553  A2162-S   H  S     12.75  99.99   5.31        20.26  14.77        21.26   1.407   0.049   0.010   0.127   2.01   2.27       21.00   3.97       20.07
16 11 02.0  +29 31 27  554  A2162-S   I  E/S0  16.77  99.99   6.28        20.03  14.26        21.51   1.488   0.051   0.052   0.261   0.28   4.26       20.84  11.06       22.91
16 14 14.9  +29 17 33  555  A2162-S   1  E/S0  11.24  99.99   3.50        19.73  15.15        21.16  99.999   0.053   0.033   0.165   0.46   2.03       20.36   4.64       21.59
16 11 36.2  +29 29 32  556  A2162-S   2  E     10.84  99.99   3.41        19.74  15.47        21.14  99.999   0.049   0.092   0.459  99.99  99.99       99.99  99.99       99.99
16 18 00.6  +35 06 37  557  J20       A  E/S0  26.02  99.99   9.66        20.04  13.25        21.34   1.496   0.003   0.032   0.157   0.43   6.62       21.00   9.85       21.38
16 17 40.6  +35 00 14  558  J20       B  E/S0  30.28   0.45  13.42        20.32  12.83        21.56   1.525   0.008   0.030   0.149   0.53   9.27       21.38  12.04       21.24
16 17 20.3  +34 54 05  559  J20       C  cD    37.94   0.07  17.46        20.38  12.31        21.52   1.569   0.008   0.032   0.158   1.40   7.21       20.81  14.82       20.62
16 17 09.3  +34 52 44  560  J20       D  S     22.08   0.64   7.76        19.97  13.65        21.21   1.528   0.005   0.009   0.114   0.63   4.76       20.83   7.33       20.86
16 18 23.6  +35 10 27  561  J20       E  S     21.49   0.41   9.94        20.38  13.53        21.67  99.999   0.003   0.009   0.115   1.30   3.16       20.19   9.76       20.96
16 29 45.0  +40 48 41  562  A2197     A  cD    53.29   0.65  19.61        20.02  11.69        21.35   1.503   0.000   0.029   0.147   0.41  13.29       20.94  21.43       21.56
16 27 41.2  +40 55 36  563  A2197     B  cD    36.17   0.36  23.27        20.86  12.16        22.02   1.536   0.003   0.032   0.159   1.14  10.98       21.44  20.20       21.23
16 25 10.4  +40 53 33  564  A2197     C  E/S0  51.42   0.58  10.09        18.96  12.08        20.35   1.492   0.003   0.029   0.147   0.56   5.54       19.53  12.09       20.47
16 30 41.8  +40 31 45  565  A2197     D  S     12.07   0.08   7.83        20.81  14.48        21.72  99.999   0.000   0.010   0.117   5.27   1.33       20.35   5.43       20.20
16 30 34.0  +40 32 20  566  A2197     E  E/S0  29.90  99.99   5.63        18.90  13.28        20.30   1.512   0.000   0.030   0.149   0.95   2.08       18.86   6.39       19.96
16 30 17.8  +40 35 54  567  A2197     F  S      9.88   0.26   7.71        20.90  14.60        21.62  99.999   0.000   0.010   0.119  47.01   1.00       22.06   4.68       19.84
16 29 23.8  +40 52 30  568  A2197     G  E/S0  22.72   0.42   6.25        19.51  13.66        20.95   1.440   0.000   0.027   0.138   0.18   4.83       20.52  11.32       22.83
16 28 54.2  +40 52 00  569  A2197     H  S     15.98   0.23   8.41        20.58  14.09        21.85  99.999   0.000   0.010   0.119   2.14   1.21       19.01   7.67       20.80
16 26 39.8  +40 28 42  570  A2197     I  S     24.32   0.14  13.83        20.65  13.08        21.49  99.999   0.008   0.010   0.119   9.12   1.11       19.08   9.12       19.85
16 28 37.9  +41 09 50  571  A2197     J  E/S0  18.09   0.16   4.58        19.38  14.21        20.83   1.500   0.000   0.030   0.152   0.64   2.17       19.69   5.94       20.97
16 28 27.5  +41 09 39  572  A2197     K  E/S0  21.44  99.99   5.21        19.38  13.93        20.42  99.999   0.000   0.032   0.160   0.70   6.48       21.82   2.65       18.87
16 28 41.6  +41 08 13  573  A2197     L  E/S0  22.94   0.11   3.47        18.47  13.90        19.90   1.430   0.000   0.032   0.161   0.40   2.14       19.17   4.74       20.49
16 30 58.8  +40 55 48  574  A2197     M  E/S0  21.63   0.33   4.37        19.00  13.93        20.49   1.378   0.000   0.032   0.159   0.86   1.58       18.86   5.54       20.35
16 28 21.6  +40 54 24  575  A2197     N  S     13.78   0.01   4.36        19.84  14.78        20.93   1.267   0.001   0.010   0.119   1.95   1.43       19.99   3.53       19.83
16 30 27.0  +41 29 02  577  A2197     2  S     18.88  99.99  11.96        20.76  13.50        21.57  99.999   0.003   0.010   0.119   9.33   2.13       20.94   7.74       19.92
16 29 09.4  +40 59 13  578  A2197     3  E/S0  21.08  99.99   6.06        19.57  13.79        21.11  99.999   0.001   0.035   0.173   0.52   3.00       19.88   9.88       21.80
16 28 38.3  +39 33 05  579  A2199     A  cD    53.20  99.99  58.69        21.77  11.06        23.41  99.999   0.000   0.031   0.155   0.21  86.14       24.20   7.61       19.24
16 28 23.4  +39 34 13  580  A2199     B  E/S0  19.75   0.03   6.54        19.85  13.91        21.19   1.482   0.000   0.029   0.147   0.56   3.79       20.55   7.18       21.17
16 27 58.6  +39 36 14  581  A2199     C  S     18.24   0.66   5.37        19.66  14.15        21.05   1.488   0.001   0.008   0.102   1.07   1.80       19.47   5.88       20.58
16 27 55.2  +39 15 32  582  A2199     D  E/S0  24.58   0.21   8.82        19.97  13.38        21.38   1.476   0.000   0.029   0.145   0.70   4.13       20.29  10.58       21.33
16 33 49.6  +39 15 47  583  A2199     E  E/S0  27.54  99.99   9.68        19.93  13.13        21.23  99.999   0.008   0.032   0.159   0.66  22.49       23.70   3.06       18.43
16 31 02.9  +39 47 31  584  A2199     F  E/S0  32.78  99.99  10.44        19.82  12.86        21.03   1.489   0.000   0.029   0.144   0.83   5.73       20.57   9.50       20.47
16 28 50.0  +39 50 05  585  A2199     G  S     18.89   0.78   8.70        20.41  13.84        21.14  99.999   0.003   0.011   0.139  34.21   1.00       20.97   5.32       19.37
16 31 19.2  +39 09 03  586  A2199     H  E/S0  22.41   0.37   5.12        19.23  13.82        20.55   1.482   0.000   0.030   0.148   0.29   3.98       20.35   5.23       20.90
16 31 07.0  +39 12 18  587  A2199     I  S      3.09   0.09   7.66        21.73  15.44        22.50  99.999   0.000   0.010   0.117   7.23   5.48       24.69   4.68       20.80
16 30 45.2  +39 11 43  588  A2199     J  E/S0  14.81   0.22   6.75        20.36  14.35        21.58  99.999   0.000   0.030   0.152   0.79   3.79       21.14   6.17       21.06
16 31 03.4  +39 50 19  589  A2199     K  S     21.11  99.99  10.20        20.45  13.54        21.60   1.482   0.000   0.010   0.119   2.36   1.94       19.56   8.56       20.46
16 27 41.0  +39 22 58  590  A2199     L  E/S0  29.26   0.53   8.50        19.63  13.12        20.97   1.455   0.000   0.030   0.148   0.30   6.42       20.70   9.23       21.42
16 27 03.7  +39 31 37  591  A2199     M  E/S0  23.73   0.17   8.78        20.03  13.45        21.31   1.403   0.003   0.034   0.169   0.16   8.47       21.51   5.92       21.33
16 27 22.1  +39 06 35  592  A2199     N  S     25.34   0.36   8.61        19.99  13.45        20.89  99.999   0.003   0.011   0.129   3.32   3.51       21.03   5.91       19.46
16 24 17.6  +39 12 40  593  A2199     O  E/S0  23.18   0.63   9.94        20.25  13.40        21.75   1.523   0.000   0.030   0.150   0.57   4.83       20.57  14.38       22.15
16 23 28.0  +39 11 29  594  A2199     P  S      9.71   0.31   9.10        21.16  14.50        21.99  99.999   0.000   0.010   0.117   8.40   1.53       21.11   5.96       20.36
16 30 20.1  +39 48 15  595  A2199     1  E     18.05  99.99   4.28        19.25  14.23        20.65  99.999   0.001   0.030   0.147  99.99  99.99       99.99  99.99       99.99
16 29 56.5  +39 56 37  596  A2199     2  E/S0  18.45  99.99   6.21        19.90  14.19        21.14  99.999   0.003   0.060   0.297   0.71   3.57       20.67   5.89       20.74
16 26 14.2  +39 58 01  597  A2199     3  S     23.48  99.99   6.37        19.68  13.80        20.45  99.999   0.001   0.010   0.117  15.65   1.00       20.11   4.00       18.74
16 37 34.5  +50 20 42  598  J21       A  E/S0  39.08  99.99   9.24        19.30  12.56        20.58   1.468   0.000   0.020   0.102   0.36   6.99       20.42   8.77       20.63
16 33 41.1  +50 22 29  599  J21       B  S     12.62  99.99   8.67        20.84  14.35        21.66  99.999   0.000   0.015   0.181   8.97   1.54       20.98   5.63       20.02
16 33 13.9  +50 23 54  600  J21       C  E/S0  25.72  99.99   8.20        19.77  13.40        21.21   1.512   0.000   0.044   0.219   0.51   4.50       20.30  10.95       21.58
16 33 01.1  +50 23 42  601  J21       D  E/S0  15.82   0.27   4.82        19.69  14.47        21.04  99.999   0.000   0.046   0.230   0.12   5.57       21.52   1.53       19.60
16 32 57.3  +50 24 05  602  J21       E  E/S0  33.81  99.99  11.86        19.94  12.77        21.34   1.505   0.000   0.048   0.239   0.99   4.20       19.83  13.36       20.95
16 32 05.9  +50 22 45  603  J21       F  S     16.00   0.31   7.62        20.43  14.22        21.56  99.999   0.000   0.015   0.181   2.45   1.48       19.61   6.30       20.39
16 32 16.8  +50 11 21  604  J21       G  S     17.45   0.35   8.34        20.45  14.04        21.27  99.999   0.000   0.015   0.185   8.66   1.53       20.62   5.43       19.64
16 31 42.8  +50 14 10  605  J21       H  S      5.53  99.99   9.07        21.48  14.89        22.22  99.999   0.000   0.015   0.181  25.89   1.00       21.65   5.59       20.46
16 31 42.7  +50 10 03  606  J21       I  S     16.49  99.99   8.35        20.52  14.11        21.81  99.999   0.000   0.014   0.172   1.47   2.25       20.05   8.12       21.02
16 33 06.3  +50 32 09  607  J21       1  S     12.09   0.43   2.99        19.35  15.18        20.75  99.999   0.000   0.015   0.179   0.48   1.78       20.05   3.67       21.02
16 52 47.7  +81 37 59  609  A2247     A  E/S0  27.51   0.16   8.64        19.78  13.26        20.96   1.527   0.161   0.037   0.186   0.35  10.73       21.97   3.74       19.43
16 52 12.7  +81 37 13  610  A2247     B  E/S0  20.40   0.73   3.74        18.89  14.19        20.15   1.546   0.161   0.040   0.198   0.90   1.78       19.36   3.65       19.65
16 51 45.0  +81 35 31  611  A2247     C  E/S0  21.44  99.99   9.52        20.32  13.60        21.57  99.999   0.161   0.040   0.198   0.95   4.42       20.77   9.14       21.02
16 51 07.9  +81 34 56  612  A2247     D  E/S0  16.23  99.99   3.19        18.88  14.53        20.44  99.999   0.161   0.038   0.188   0.33   1.93       19.49   6.89       22.06
16 50 58.7  +81 34 28  613  A2247     E  E/S0  23.13   0.68  23.99        21.61  12.89        22.92   1.520   0.161   0.038   0.190   1.58   5.62       20.89  23.42       22.09
16 48 46.0  +81 36 38  614  A2247     F  E     24.13   0.23   4.50        18.81  13.72        20.21   1.563   0.161   0.039   0.195  99.99  99.99       99.99  99.99       99.99
17 01 42.8  +81 54 45  615  A2247     1  E/S0  17.09  99.99   4.47        19.52  14.43        20.68  99.999   0.202   0.039   0.196   0.93   2.48       20.35   3.83       19.98
16 51 58.8  +81 30 42  616  A2247     2  S     13.62  99.99   6.05        20.34  14.60        21.38  99.999   0.161   0.012   0.148   2.61   1.53       20.14   4.71       20.15
17 01 55.0  +28 25 04  617  P332-1    A  E/S0  28.34  99.99   7.81        19.54  13.23        20.78   1.533   0.169   0.036   0.178   0.23   9.03       21.48   3.38       19.54
17 01 56.2  +28 23 16  618  P332-1    B  E/S0  20.65  99.99   4.83        19.30  14.03        20.56   1.358   0.169   0.036   0.181   0.68   2.77       20.05   4.71       20.23
17 00 53.7  +27 43 27  619  P332-1    C  SB0   21.14   0.44   6.82        19.86  13.84        21.02  99.999   0.142   0.034   0.168   1.92   1.77       19.48   5.88       19.99
17 00 47.1  +27 50 55  620  P332-1    D  S     17.20   0.73   5.35        19.82  14.42        20.76  99.999   0.152   0.018   0.220   1.61  11.54       23.92   2.53       18.72
17 00 43.6  +28 01 33  621  P332-1    E  E/S0  21.22   0.88   5.12        19.33  14.03        20.72   1.373   0.152   0.059   0.296   0.92   1.97       19.36   5.76       20.39
16 59 47.0  +27 46 01  622  P332-1    F  S     19.56   0.61   7.01        20.01  13.94        21.16   1.450   0.157   0.011   0.137   1.29   3.13       20.56   5.94       20.28
17 00 11.6  +28 16 45  623  P332-1    G  E     21.85  99.99   3.23        18.38  13.99        19.78  99.999   0.152   0.034   0.168  99.99  99.99       99.99  99.99       99.99
17 02 13.8  +28 07 44  624  P332-1    1  SB    10.65  99.99   7.38        20.93  14.84        21.98  99.999   0.157   0.019   0.226   2.76   1.71       20.59   5.73       20.72
17 00 03.4  +28 25 40  625  P332-1    2  S     10.57  99.99   6.82        20.83  14.91        21.86  99.999   0.147   0.019   0.226   2.49   2.03       20.95   5.23       20.63
16 57 58.2  +27 51 17  626  J22       A  cD    51.26   1.11  22.50        20.30  11.70        21.60   1.500   0.157   0.035   0.174   0.48  14.62       21.18  23.26       21.59
16 56 43.3  +27 49 19  627  J22       B  E/S0  34.79   0.59  13.32        20.07  12.60        21.47   1.504   0.166   0.034   0.173   0.39   8.58       20.87  16.93       21.97
16 57 29.2  +27 50 39  628  J22       C  E     29.56   0.71   7.70        19.42  13.14        20.81   1.490   0.157   0.032   0.162  99.99  99.99       99.99  99.99       99.99
16 58 44.1  +27 51 32  629  J22       D  E/S0  21.30   0.62   6.13        19.60  13.82        20.99   1.503   0.157   0.032   0.162   0.33   4.29       20.53   7.52       21.58
16 58 50.7  +27 57 53  630  J22       E  E/S0  24.20   0.18   6.97        19.59  13.52        21.07   1.522   0.157   0.035   0.176   0.50   3.71       20.05  10.12       21.59
16 57 55.1  +27 41 58  631  J22       F  S     12.62  99.99   4.13        19.88  14.95        20.98   1.518   0.140   0.012   0.142   0.79   2.99       21.21   3.09       20.14
16 57 42.8  +27 39 33  632  J22       G  E     15.90   0.88   2.59        18.56  14.65        19.96   1.590   0.140   0.033   0.166  99.99  99.99       99.99  99.99       99.99
16 57 53.0  +28 07 42  633  J22       H  E/S0  24.33   0.49   9.08        20.09  13.45        21.20   1.414   0.157   0.035   0.173   2.40   1.96       19.48   7.43       20.03
17 15 23.1  +57 24 39  634  J23       A  cD    47.39   0.88  17.25        20.03  11.97        21.21   1.583   0.044   0.027   0.137   0.86   9.85       20.88  14.98       20.57
17 15 24.5  +57 19 20  635  J23       B  E/S0  27.63   0.54   8.68        19.77  13.20        21.06   1.552   0.037   0.030   0.148   0.19   7.75       21.11   7.21       21.34
17 14 37.7  +57 18 19  636  J23       C  E/S0  19.33   0.04   4.22        19.17  14.16        20.49   1.551   0.017   0.028   0.142   0.67   2.24       19.74   4.52       20.31
17 16 24.7  +57 25 17  637  J23       D  S     14.67   0.29   7.83        20.58  14.24        21.56  99.999   0.044   0.009   0.110   3.71   1.58       20.18   5.73       20.17
17 14 53.9  +57 40 22  638  J23       E  E/S0  17.29  99.99   5.30        19.72  14.23        21.03  99.999   0.049   0.028   0.138   0.16   4.84       21.09   4.33       21.42
17 33 02.2  +43 45 34  639  J24       A  cD    28.80  99.99  22.46        21.19  12.58        22.65   1.470   0.041   0.033   0.165   0.07  25.33       22.91   3.42       20.10
17 33 08.9  +43 42 34  640  J24       B  E/S0  15.97  99.99   3.40        19.11  14.61        20.46  99.999   0.041   0.034   0.171   0.53   2.01       19.82   3.80       20.51
17 33 17.0  +43 37 45  641  J24       C  E/S0  18.55  99.99   4.41        19.28  14.21        20.71  99.999   0.041   0.034   0.173   0.56   2.30       19.74   5.67       20.93
17 33 20.6  +43 54 47  642  J24       D  S     15.40   0.02  10.34        20.82  13.90        21.63  99.999   0.046   0.011   0.139  10.80   1.28       20.35   6.67       19.96
17 32 35.2  +43 51 09  643  J24       E  E/S0  14.32  99.99   4.52        19.76  14.64        21.06  99.999   0.046   0.035   0.174   0.14   5.02       21.53   1.84       20.09
17 31 21.2  +43 36 57  644  J24       1  S     19.90  99.99   5.52        19.63  14.08        20.73  99.999   0.041   0.011   0.134   1.52   2.33       20.16   4.50       19.74
17 55 48.4  +62 36 44  645  J25       A  cD    42.19  99.99  58.00        21.98  11.28        23.40   1.476   0.106   0.027   0.137   0.03  60.84       23.50   5.38       20.79
17 54 50.3  +62 38 42  646  J25       B  E/S0  30.95  99.99  13.10        20.24  12.77        21.58   1.502   0.106   0.028   0.139   0.75   6.33       20.66  14.32       21.36
17 55 23.0  +62 39 28  647  J25       C  S     12.52  99.99   3.57        19.63  14.98        20.86  99.999   0.106   0.008   0.101   0.37   2.88       20.89   2.97       20.66
18 02 40.2  +42 47 44  648  J26       A  cD    26.35   0.10  11.27        20.26  13.22        21.60   1.490   0.082   0.050   0.251   0.36   7.91       21.22  12.58       21.94
18 01 42.9  +42 43 08  649  J26       B  E/S0  15.14  99.99   4.21        19.58  14.72        20.87   1.382   0.070   0.061   0.304   0.67   2.36       20.27   4.26       20.60
17 59 30.3  +42 30 54  650  J26       C  E/S0  23.20  99.99   5.88        19.41  13.78        20.80  99.999   0.056   0.051   0.256   0.85   2.41       19.53   6.76       20.56
17 59 11.8  +42 35 28  651  J26       1  S      5.25  99.99   6.96        21.33  15.33        22.08  99.999   0.056   0.016   0.200  15.13   2.01       23.04   4.32       20.36
18 03 04.5  +42 57 21  652  J26       2  E/S0  12.12  99.99   7.03        20.75  14.73        22.35  99.999   0.082   0.047   0.237   0.40   3.82       21.18  15.09       23.77
18 36 20.8  +51 27 58  653  J27       A  cD    41.84   0.31  11.66        19.60  12.41        20.81   1.477   0.099   0.036   0.178   0.73   7.04       20.49  10.43       20.31
18 35 58.8  +51 27 31  654  J27       B  E/S0  25.46   0.61  11.56        20.35  13.18        21.58   1.426   0.099   0.031   0.156   1.41   3.79       20.28  10.74       20.78
18 34 04.9  +51 24 48  655  J27       C  E     22.81   0.23   9.29        20.17  13.48        21.57   1.469   0.099   0.033   0.163  99.99  99.99       99.99  99.99       99.99
